Customer ID,Recency,Frequency,Monetary,M_score,F_score,R_score,Score,Segment
12721,20,2,1356,4,2,4,424,Potential Loyalists
12724,18,3,1286,4,3,4,434,Potential Loyalists
12725,6,4,2266,5,3,5,535,Potential Loyalists
12726,22,4,1405,4,3,4,434,Potential Loyalists
12727,77,3,1698,4,3,2,234,Hibernating
12728,18,1,233,1,1,4,411,New Customers
12730,156,1,829,3,1,2,213,Lost Customers
12731,77,5,6879,5,3,2,235,Hibernating
12733,24,3,2040,4,3,4,434,Potential Loyalists
12734,9,2,529,3,2,5,523,Potential Loyalists
12737,133,2,3710,5,2,2,225,Hibernating
12738,7,1,155,1,1,5,511,New Customers
12739,20,2,1713,4,2,4,424,Potential Loyalists
12741,164,2,406,2,2,2,222,Hibernating
12742,260,1,1201,4,1,1,114,Lost Customers
12744,94,4,4037,5,3,2,235,Hibernating
12745,121,3,925,3,3,2,233,Hibernating
12746,175,1,254,2,1,2,212,Lost Customers
12747,4,16,5080,5,4,5,545,Champions
12748,0,144,22879,5,5,5,555,Champions
12749,34,4,2806,5,3,4,435,Potential Loyalists
12751,79,1,268,2,1,2,212,Lost Customers
12755,0,10,5218,5,4,5,545,Champions
12758,94,5,7111,5,3,2,235,Hibernating
12759,21,5,3489,5,3,4,435,Potential Loyalists
12760,90,1,347,2,1,2,212,Lost Customers
12761,92,2,782,3,2,2,223,Hibernating
12763,4,1,320,2,1,5,512,New Customers
12765,107,6,1404,4,4,2,244,At Risk
12766,1,3,3078,5,3,5,535,Potential Loyalists
12767,10,1,949,3,1,5,513,New Customers
12768,85,1,168,1,1,2,211,Lost Customers
12770,91,1,1895,4,1,2,214,Lost Customers
12771,120,1,282,2,1,2,212,Lost Customers
12773,199,1,124,1,1,1,111,Lost Customers
12774,170,1,98,1,1,2,211,Lost Customers
12775,23,2,300,2,2,4,422,Potential Loyalists
12776,302,1,55,1,1,1,111,Lost Customers
12777,92,1,519,3,1,2,213,Lost Customers
12778,31,3,953,3,3,4,433,Potential Loyalists
12779,6,7,2740,5,4,5,545,Champions
12780,233,1,337,2,1,1,112,Lost Customers
12782,9,6,2287,5,4,5,545,Champions
12784,164,1,1230,4,1,2,214,Lost Customers
12785,170,2,788,3,2,2,223,Hibernating
12786,244,1,728,3,1,1,113,Lost Customers
12787,48,1,398,2,1,3,312,Regular Customers
12788,98,4,444,2,3,2,232,Hibernating
12789,147,2,181,1,2,2,221,Hibernating
12790,45,1,266,2,1,3,312,Regular Customers
12791,8,6,863,3,4,5,543,Loyal Customers
12792,169,1,426,2,1,2,212,Lost Customers
12793,6,2,471,2,2,5,522,Potential Loyalists
12796,263,1,381,2,1,1,112,Lost Customers
12797,0,2,552,3,2,5,523,Potential Loyalists
12798,56,1,1533,4,1,3,314,Regular Customers
12799,164,1,219,1,1,2,211,Lost Customers
12800,105,3,584,3,3,2,233,Hibernating
12801,135,1,1071,4,1,2,214,Lost Customers
12802,77,6,1988,4,4,2,244,At Risk
12803,28,1,1092,4,1,4,414,New Customers
12804,100,2,327,2,2,2,222,Hibernating
12805,16,4,1434,4,3,4,434,Potential Loyalists
12806,70,4,2878,5,3,3,335,Regular Customers
12807,18,1,330,2,1,4,412,New Customers
12808,3,3,422,2,3,5,532,Potential Loyalists
12809,200,2,1266,4,2,1,124,Hibernating
12810,169,2,534,3,2,2,223,Hibernating
12811,13,2,519,3,2,5,523,Potential Loyalists
12813,136,3,1687,4,3,2,234,Hibernating
12817,34,2,524,3,2,4,423,Potential Loyalists
12819,93,1,540,3,1,2,213,Lost Customers
12820,32,7,1747,4,4,4,444,Loyal Customers
12821,246,1,128,1,1,1,111,Lost Customers
12823,29,13,4742,5,4,4,445,Loyal Customers
12825,156,2,518,3,2,2,223,Hibernating
12826,0,6,1481,4,4,5,544,Champions
12829,185,1,92,1,1,1,111,Lost Customers
12831,98,2,236,1,2,2,221,Hibernating
12835,62,41,6043,5,5,3,355,Regular Customers
12836,24,11,3972,5,4,4,445,Loyal Customers
12837,204,1,554,3,1,1,113,Lost Customers
12838,8,9,2715,5,4,5,545,Champions
12839,2,13,4480,5,4,5,545,Champions
12840,72,3,1315,4,3,2,234,Hibernating
12841,4,17,3518,5,4,5,545,Champions
12842,39,2,799,3,2,3,323,Regular Customers
12843,17,22,4886,5,5,4,455,Loyal Customers
12844,77,2,322,2,2,2,222,Hibernating
12846,317,1,15,1,1,1,111,Lost Customers
12847,22,1,765,3,1,4,413,New Customers
12848,310,1,208,1,1,1,111,Lost Customers
12849,16,4,2039,4,3,4,434,Potential Loyalists
12850,80,1,330,2,1,2,212,Lost Customers
12851,112,1,148,1,1,2,211,Lost Customers
12853,62,5,1950,4,3,3,334,Regular Customers
12854,196,4,1669,4,3,1,134,Hibernating
12855,7,4,612,3,3,5,533,Potential Loyalists
12857,71,4,2581,5,3,2,235,Hibernating
12858,18,1,177,1,1,4,411,New Customers
12859,93,1,575,3,1,2,213,Lost Customers
12860,328,1,55,1,1,1,111,Lost Customers
12861,254,1,68,1,1,1,111,Lost Customers
12862,60,2,1008,4,2,3,324,Regular Customers
12863,14,5,2271,5,3,5,535,Potential Loyalists
12864,143,1,152,1,1,2,211,Lost Customers
12865,13,2,1755,4,2,5,524,Potential Loyalists
12866,109,2,668,3,2,2,223,Hibernating
12867,32,6,3876,5,4,4,445,Loyal Customers
12868,8,3,640,3,3,5,533,Potential Loyalists
12869,316,1,337,2,1,1,112,Lost Customers
12870,10,3,1676,4,3,5,534,Potential Loyalists
12871,74,1,363,2,1,2,212,Lost Customers
12872,0,11,3085,5,4,5,545,Champions
12873,32,2,1653,4,2,4,424,Potential Loyalists
12874,20,2,948,3,2,4,423,Potential Loyalists
12875,106,3,1013,4,3,2,234,Hibernating
12876,29,2,1863,4,2,4,424,Potential Loyalists
12877,36,8,1419,4,4,3,344,Regular Customers
12880,16,2,640,3,2,4,423,Potential Loyalists
12887,18,1,222,1,1,4,411,New Customers
12889,16,4,385,2,3,4,432,Potential Loyalists
12890,22,1,336,2,1,4,412,New Customers
12891,93,8,509,3,4,2,243,At Risk
12892,31,1,263,2,1,4,412,New Customers
12894,210,1,157,1,1,1,111,Lost Customers
12897,16,2,297,2,2,4,422,Potential Loyalists
12898,98,2,310,2,2,2,222,Hibernating
12899,48,1,366,2,1,3,312,Regular Customers
12900,57,1,340,2,1,3,312,Regular Customers
12903,63,1,833,3,1,3,313,Regular Customers
12905,211,2,1018,4,2,1,124,Hibernating
12907,30,2,508,3,2,4,423,Potential Loyalists
12908,15,3,1026,4,3,4,434,Potential Loyalists
12909,59,3,924,3,3,3,333,Regular Customers
12910,14,5,2721,5,3,5,535,Potential Loyalists
12911,186,1,1680,4,1,1,114,Lost Customers
12913,3,9,4217,5,4,5,545,Champions
12914,35,1,223,1,1,4,411,New Customers
12915,7,3,811,3,3,5,533,Potential Loyalists
12916,77,3,1647,4,3,2,234,Hibernating
12917,35,5,3765,5,3,4,435,Potential Loyalists
12918,261,1,10953,5,1,1,115,Lost Customers
12920,206,3,323,2,3,1,132,Hibernating
12921,1,39,19333,5,5,5,555,Champions
12923,25,2,612,3,2,4,423,Potential Loyalists
12924,28,8,1535,4,4,4,444,Loyal Customers
12925,227,1,35,1,1,1,111,Lost Customers
12926,46,4,1548,4,3,3,334,Regular Customers
12927,29,1,197,1,1,4,411,New Customers
12928,13,7,2242,5,4,5,545,Champions
12931,15,42,50291,5,5,4,455,Loyal Customers
12932,174,8,1698,4,4,2,244,At Risk
12933,15,5,1079,4,3,4,434,Potential Loyalists
12934,371,1,181,1,1,1,111,Lost Customers
12935,10,8,2083,4,4,5,544,Champions
12937,98,5,1593,4,3,2,234,Hibernating
12939,14,12,13683,5,4,5,545,Champions
12941,359,1,377,2,1,1,112,Lost Customers
12942,0,1,258,2,1,5,512,New Customers
12943,193,2,496,2,2,1,122,Hibernating
12945,291,1,437,2,1,1,112,Lost Customers
12946,71,1,324,2,1,2,212,Lost Customers
12947,8,1,304,2,1,5,512,New Customers
12948,365,2,252,2,2,1,122,Hibernating
12949,17,14,11359,5,4,4,445,Loyal Customers
12951,21,9,2149,5,4,4,445,Loyal Customers
12953,157,1,498,2,1,2,212,Lost Customers
12954,273,1,162,1,1,1,111,Lost Customers
12956,319,3,413,2,3,1,132,Hibernating
12957,176,5,4689,5,3,1,135,Hibernating
12958,35,2,539,3,2,4,423,Potential Loyalists
12959,119,1,150,1,1,2,211,Lost Customers
12960,48,4,1322,4,3,3,334,Regular Customers
12961,14,1,211,1,1,5,511,New Customers
12963,0,5,1744,4,3,5,534,Potential Loyalists
12964,72,1,132,1,1,2,211,Lost Customers
12967,6,2,2646,5,2,5,525,Potential Loyalists
12969,237,1,122,1,1,1,111,Lost Customers
12970,15,6,1072,4,4,4,444,Loyal Customers
12971,1,33,4782,5,5,5,555,Champions
12972,48,4,1161,4,3,3,334,Regular Customers
12973,48,1,385,2,1,3,312,Regular Customers
12974,200,1,264,2,1,1,112,Lost Customers
12975,71,6,2100,4,4,2,244,At Risk
12976,13,7,2417,5,4,5,545,Champions
12977,136,3,478,2,3,2,232,Hibernating
12978,20,5,2502,5,3,4,435,Potential Loyalists
12979,364,1,517,3,1,1,113,Lost Customers
12980,21,12,8870,5,4,4,445,Loyal Customers
12982,29,7,2354,5,4,4,445,Loyal Customers
12983,233,1,490,2,1,1,112,Lost Customers
12986,63,10,2729,5,4,3,345,Regular Customers
12987,55,3,753,3,3,3,333,Regular Customers
12989,59,18,6627,5,4,3,345,Regular Customers
12990,52,4,546,3,3,3,333,Regular Customers
12991,24,1,261,2,1,4,412,New Customers
12992,360,1,93,1,1,1,111,Lost Customers
12993,80,4,844,3,3,2,233,Hibernating
12996,10,1,355,2,1,5,512,New Customers
12997,29,4,884,3,3,4,433,Potential Loyalists
12998,127,3,920,3,3,2,233,Hibernating
13000,360,1,497,2,1,1,112,Lost Customers
13001,39,20,14353,5,4,3,345,Regular Customers
13002,51,2,293,2,2,3,322,Regular Customers
13004,21,18,5994,5,4,4,445,Loyal Customers
13005,66,2,485,2,2,3,322,Regular Customers
13007,214,1,175,1,1,1,111,Lost Customers
13008,32,2,382,2,2,4,422,Potential Loyalists
13009,307,1,234,1,1,1,111,Lost Customers
13010,9,2,330,2,2,5,522,Potential Loyalists
13011,7,1,50,1,1,5,511,New Customers
13012,64,3,1310,4,3,3,334,Regular Customers
13013,6,18,7814,5,4,5,545,Champions
13014,67,1,1914,4,1,3,314,Regular Customers
13015,73,6,3240,5,4,2,245,At Risk
13018,48,7,2485,5,4,3,345,Regular Customers
13019,14,6,1229,4,4,5,544,Champions
13020,197,2,618,3,2,1,123,Hibernating
13021,9,8,2270,5,4,5,545,Champions
13022,64,1,65,1,1,3,311,Regular Customers
13023,163,1,759,3,1,2,213,Lost Customers
13024,105,2,555,3,2,2,223,Hibernating
13025,366,1,323,2,1,1,112,Lost Customers
13026,123,4,757,3,3,2,233,Hibernating
13027,20,13,10423,5,4,4,445,Loyal Customers
13029,9,2,679,3,2,5,523,Potential Loyalists
13030,3,1,427,2,1,5,512,New Customers
13031,42,5,3419,5,3,3,335,Regular Customers
13032,27,7,1833,4,4,4,444,Loyal Customers
13033,64,1,30,1,1,3,311,Regular Customers
13034,4,2,279,2,2,5,522,Potential Loyalists
13035,66,1,442,2,1,3,312,Regular Customers
13036,319,1,307,2,1,1,112,Lost Customers
13037,34,9,3033,5,4,4,445,Loyal Customers
13039,219,4,1010,4,3,1,134,Hibernating
13041,85,4,799,3,3,2,233,Hibernating
13042,233,3,1556,4,3,1,134,Hibernating
13044,127,10,4293,5,4,2,245,At Risk
13045,36,2,503,2,2,3,322,Regular Customers
13046,91,1,319,2,1,2,212,Lost Customers
13047,8,17,5557,5,4,5,545,Champions
13048,71,5,2248,5,3,2,235,Hibernating
13049,24,2,751,3,2,4,423,Potential Loyalists
13050,1,19,6507,5,4,5,545,Champions
13051,213,2,155,1,2,1,121,Hibernating
13052,55,6,2820,5,4,3,345,Regular Customers
13053,256,1,127,1,1,1,111,Lost Customers
13055,64,1,1106,4,1,3,314,Regular Customers
13056,186,1,209,1,1,1,111,Lost Customers
13057,165,3,722,3,3,2,233,Hibernating
13059,48,9,2119,4,4,3,344,Regular Customers
13063,115,1,188,1,1,2,211,Lost Customers
13064,185,2,561,3,2,1,123,Hibernating
13065,8,5,1055,4,3,5,534,Potential Loyalists
13067,44,2,393,2,2,3,322,Regular Customers
13069,4,16,5247,5,4,5,545,Champions
13070,94,3,522,3,3,2,233,Hibernating
13071,247,1,129,1,1,1,111,Lost Customers
13073,46,2,418,2,2,3,322,Regular Customers
13074,146,4,1378,4,3,2,234,Hibernating
13076,92,1,135,1,1,2,211,Lost Customers
13077,1,8,2335,5,4,5,545,Champions
13078,1,32,16904,5,5,5,555,Champions
13079,52,1,199,1,1,3,311,Regular Customers
13080,36,3,222,1,3,3,331,Regular Customers
13081,6,19,30867,5,4,5,545,Champions
13082,59,12,3722,5,4,3,345,Regular Customers
13083,60,1,91,1,1,3,311,Regular Customers
13084,126,1,122,1,1,2,211,Lost Customers
13085,314,6,2017,4,4,1,144,At Risk
13086,17,1,439,2,1,4,412,New Customers
13087,361,1,313,2,1,1,112,Lost Customers
13088,52,1,236,1,1,3,311,Regular Customers
13089,3,109,57912,5,5,5,555,Champions
13090,0,13,5192,5,4,5,545,Champions
13091,364,2,1976,4,2,1,124,Hibernating
13092,49,7,1662,4,4,3,344,Regular Customers
13093,8,48,47111,5,5,5,555,Champions
13094,3,2,505,2,2,5,522,Potential Loyalists
13096,29,1,419,2,1,4,412,New Customers
13097,23,18,7378,5,4,4,445,Loyal Customers
13101,133,3,594,3,3,2,233,Hibernating
13102,0,14,5272,5,4,5,545,Champions
13103,72,2,465,2,2,2,222,Hibernating
13104,50,3,610,3,3,3,333,Regular Customers
13105,71,1,72,1,1,2,211,Lost Customers
13106,48,1,526,3,1,3,313,Regular Customers
13107,48,5,3721,5,3,3,335,Regular Customers
13108,7,2,748,3,2,5,523,Potential Loyalists
13109,186,1,347,2,1,1,112,Lost Customers
13110,72,5,1468,4,3,2,234,Hibernating
13111,353,1,321,2,1,1,112,Lost Customers
13112,176,1,20,1,1,1,111,Lost Customers
13113,1,14,6379,5,4,5,545,Champions
13114,365,1,234,1,1,1,111,Lost Customers
13115,14,6,3199,5,4,5,545,Champions
13117,0,12,1658,4,4,5,544,Champions
13118,11,4,1217,4,3,5,534,Potential Loyalists
13119,303,1,134,1,1,1,111,Lost Customers
13123,107,2,506,3,2,2,223,Hibernating
13124,20,1,916,3,1,4,413,New Customers
13125,158,1,158,1,1,2,211,Lost Customers
13126,1,7,1898,4,4,5,544,Champions
13128,266,1,263,2,1,1,112,Lost Customers
13129,87,2,233,1,2,2,221,Hibernating
13131,53,4,2240,5,3,3,335,Regular Customers
13133,94,1,90,1,1,2,211,Lost Customers
13134,37,2,681,3,2,3,323,Regular Customers
13135,126,1,275,2,1,2,212,Lost Customers
13136,10,8,3666,5,4,5,545,Champions
13137,21,8,4062,5,4,4,445,Loyal Customers
13138,7,2,504,2,2,5,522,Potential Loyalists
13139,72,1,3138,5,1,2,215,Lost Customers
13140,1,3,791,3,3,5,533,Potential Loyalists
13141,20,12,5279,5,4,4,445,Loyal Customers
13143,219,1,405,2,1,1,112,Lost Customers
13144,66,1,24,1,1,3,311,Regular Customers
13145,7,4,805,3,3,5,533,Potential Loyalists
13148,24,14,4914,5,4,4,445,Loyal Customers
13150,119,3,449,2,3,2,232,Hibernating
13151,260,2,1322,4,2,1,124,Hibernating
13152,52,7,2146,5,4,3,345,Regular Customers
13154,34,3,1624,4,3,4,434,Potential Loyalists
13155,3,3,778,3,3,5,533,Potential Loyalists
13156,20,3,1586,4,3,4,434,Potential Loyalists
13157,44,5,3946,5,3,3,335,Regular Customers
13158,23,1,307,2,1,4,412,New Customers
13161,135,1,366,2,1,2,212,Lost Customers
13162,15,12,7587,5,4,4,445,Loyal Customers
13163,245,1,17,1,1,1,111,Lost Customers
13164,204,2,372,2,2,1,122,Hibernating
13165,48,1,429,2,1,3,312,Regular Customers
13166,49,1,466,2,1,3,312,Regular Customers
13167,25,1,333,2,1,4,412,New Customers
13168,177,1,556,3,1,1,113,Lost Customers
13169,197,1,127,1,1,1,111,Lost Customers
13172,35,1,69,1,1,4,411,New Customers
13173,2,10,2285,5,4,5,545,Champions
13174,4,10,6677,5,4,5,545,Champions
13175,217,2,831,3,2,1,123,Hibernating
13177,65,1,229,1,1,3,311,Regular Customers
13178,32,10,8333,5,4,4,445,Loyal Customers
